epoch,epoch_steps,epoch_rewards,epoch_time,epoch_avg_q,total_steps,epsilon,beta,memory_len,total_run_time,dueling,noisy_net,pretraining_steps,tau
0,13,-1.1102230246251565e-16,0 days 00:00:05.666254,,14,1,0.4,14,0 days 00:00:18.924139,True,False,5000,0.01
1,14,0.09999999999999987,0 days 00:00:05.248967,,29,1,0.4,29,0 days 00:00:27.806907,True,False,5000,0.01
2,8,-0.5,0 days 00:00:03.748506,,38,1,0.4,38,0 days 00:00:35.173097,True,False,5000,0.01
3,6,-0.7,0 days 00:00:02.081928,,45,1,0.4,45,0 days 00:00:40.873399,True,False,5000,0.01
4,15,0.19999999999999996,0 days 00:00:04.333504,,61,1,0.4,61,0 days 00:00:48.824587,True,False,5000,0.01
5,6,-0.7,0 days 00:00:03.083235,,68,1,0.4,68,0 days 00:00:55.524964,True,False,5000,0.01
6,8,-0.5,0 days 00:00:03.748930,,77,1,0.4,77,0 days 00:01:02.890938,True,False,5000,0.01
7,7,-0.6,0 days 00:00:02.164537,,85,1,0.4,85,0 days 00:01:08.674544,True,False,5000,0.01
8,6,-0.7,0 days 00:00:02.081288,,92,1,0.4,92,0 days 00:01:14.374487,True,False,5000,0.01
9,7,-0.6,0 days 00:00:02.665573,,100,1,0.4,100,0 days 00:01:20.659497,True,False,5000,0.01
10,6,-0.7,0 days 00:00:02.082315,,107,1,0.4,107,0 days 00:01:26.359144,True,False,5000,0.01
11,7,-0.6,0 days 00:00:02.665179,,115,1,0.4,115,0 days 00:01:32.641859,True,False,5000,0.01
12,13,-1.1102230246251565e-16,0 days 00:00:04.666399,,129,1,0.4,129,0 days 00:01:40.926818,True,False,5000,0.01
13,7,-0.6,0 days 00:00:02.165189,,137,1,0.4,137,0 days 00:01:46.709124,True,False,5000,0.01
14,12,-0.10000000000000009,0 days 00:00:04.583022,,150,1,0.4,150,0 days 00:01:54.910615,True,False,5000,0.01
15,6,-0.7,0 days 00:00:02.082799,,157,1,0.4,157,0 days 00:02:00.610665,True,False,5000,0.01
16,9,-0.4,0 days 00:00:04.332654,,167,1,0.4,167,0 days 00:02:08.560800,True,False,5000,0.01
17,13,-1.1102230246251565e-16,0 days 00:00:04.168980,,181,1,0.4,181,0 days 00:02:16.348301,True,False,5000,0.01
18,15,0.19999999999999996,0 days 00:00:04.831991,,197,1,0.4,197,0 days 00:02:24.794865,True,False,5000,0.01
19,8,-0.5,0 days 00:00:03.248285,,206,1,0.4,206,0 days 00:02:31.661221,True,False,5000,0.01
20,4,-0.9,0 days 00:00:02.915755,,211,1,0.4,211,0 days 00:02:38.195807,True,False,5000,0.01
21,11,-0.20000000000000007,0 days 00:00:04.998211,,223,1,0.4,223,0 days 00:02:46.811711,True,False,5000,0.01
22,7,-0.6,0 days 00:00:03.165271,,231,1,0.4,231,0 days 00:02:53.595416,True,False,5000,0.01
23,21,0.8000000000000005,0 days 00:00:06.334065,,253,1,0.4,253,0 days 00:03:03.546989,True,False,5000,0.01
24,7,-0.6,0 days 00:00:02.165456,,261,1,0.4,261,0 days 00:03:09.329385,True,False,5000,0.01
25,6,-0.7,0 days 00:00:02.081972,,268,1,0.4,268,0 days 00:03:15.029762,True,False,5000,0.01
26,13,-1.1102230246251565e-16,0 days 00:00:03.165668,,282,1,0.4,282,0 days 00:03:21.813443,True,False,5000,0.01
27,7,-0.6,0 days 00:00:02.164593,,290,1,0.4,290,0 days 00:03:27.597242,True,False,5000,0.01
28,5,-0.7999999999999999,0 days 00:00:02.998605,,296,1,0.4,296,0 days 00:03:34.213642,True,False,5000,0.01
29,21,0.8000000000000005,0 days 00:00:08.333089,,318,1,0.4,318,0 days 00:03:46.165963,True,False,5000,0.01
30,7,-0.6,0 days 00:00:02.164539,,326,1,0.4,326,0 days 00:03:51.947837,True,False,5000,0.01
31,5,-0.7999999999999999,0 days 00:00:03.000557,,332,1,0.4,332,0 days 00:03:58.566358,True,False,5000,0.01
32,10,-0.30000000000000004,0 days 00:00:04.415291,,343,1,0.4,343,0 days 00:04:06.598348,True,False,5000,0.01
33,15,0.19999999999999996,0 days 00:00:03.832001,,359,1,0.4,359,0 days 00:04:14.049201,True,False,5000,0.01
34,6,-0.7,0 days 00:00:02.082854,,366,1,0.4,366,0 days 00:04:19.749967,True,False,5000,0.01
35,7,-0.6,0 days 00:00:03.164919,,374,1,0.4,374,0 days 00:04:26.532522,True,False,5000,0.01
36,11,-0.20000000000000007,0 days 00:00:03.998722,,386,1,0.4,386,0 days 00:04:34.150005,True,False,5000,0.01
37,14,0.09999999999999987,0 days 00:00:05.248838,,401,1,0.4,401,0 days 00:04:43.017070,True,False,5000,0.01
38,6,-0.7,0 days 00:00:02.082526,,408,1,0.4,408,0 days 00:04:48.717081,True,False,5000,0.01
39,16,0.30000000000000004,0 days 00:00:05.418536,,425,1,0.4,425,0 days 00:04:57.753475,True,False,5000,0.01
40,7,-0.6,0 days 00:00:03.164880,,433,1,0.4,433,0 days 00:05:04.534194,True,False,5000,0.01
41,10,-0.30000000000000004,0 days 00:00:04.915372,,444,1,0.4,444,0 days 00:05:13.184622,True,False,5000,0.01
42,7,-0.6,0 days 00:00:02.164456,,452,1,0.4,452,0 days 00:05:18.967977,True,False,5000,0.01
43,6,-0.7,0 days 00:00:02.081651,,459,1,0.4,459,0 days 00:05:24.669379,True,False,5000,0.01
44,6,-0.7,0 days 00:00:03.082820,,466,1,0.4,466,0 days 00:05:31.368852,True,False,5000,0.01
45,21,0.8000000000000005,0 days 00:00:08.832881,,488,1,0.4,488,0 days 00:05:43.819974,True,False,5000,0.01
46,8,-0.5,0 days 00:00:02.748728,,497,1,0.4,497,0 days 00:05:50.185717,True,False,5000,0.01
47,20,0.7000000000000004,0 days 00:00:06.248097,,518,1,0.4,518,0 days 00:06:00.053254,True,False,5000,0.01
48,19,0.6000000000000003,0 days 00:00:07.166697,,538,1,0.4,538,0 days 00:06:10.837845,True,False,5000,0.01
49,6,-0.7,0 days 00:00:02.081579,,545,1,0.4,545,0 days 00:06:16.537684,True,False,5000,0.01
50,6,-0.7,0 days 00:00:02.080792,,552,1,0.4,552,0 days 00:06:22.236787,True,False,5000,0.01
51,7,-0.6,0 days 00:00:02.164421,,560,1,0.4,560,0 days 00:06:28.020405,True,False,5000,0.01
52,6,-0.7,0 days 00:00:02.075633,,567,1,0.4,567,0 days 00:06:33.720825,True,False,5000,0.01
53,5,-0.7999999999999999,0 days 00:00:02.997163,,573,1,0.4,573,0 days 00:06:40.338252,True,False,5000,0.01
54,6,-0.7,0 days 00:00:02.082168,,580,1,0.4,580,0 days 00:06:46.038726,True,False,5000,0.01
55,11,-0.20000000000000007,0 days 00:00:04.499631,,592,1,0.4,592,0 days 00:06:54.155526,True,False,5000,0.01
56,7,-0.6,0 days 00:00:02.164018,,600,1,0.4,600,0 days 00:06:59.938497,True,False,5000,0.01
57,6,-0.7,0 days 00:00:02.082532,,607,1,0.4,607,0 days 00:07:05.640042,True,False,5000,0.01
58,18,0.5000000000000002,0 days 00:00:04.582720,,626,1,0.4,626,0 days 00:07:13.840437,True,False,5000,0.01
59,6,-0.7,0 days 00:00:03.082024,,633,1,0.4,633,0 days 00:07:20.539750,True,False,5000,0.01
60,10,-0.30000000000000004,0 days 00:00:03.416062,,644,1,0.4,644,0 days 00:07:27.574144,True,False,5000,0.01
61,11,-0.20000000000000007,0 days 00:00:03.998175,,656,1,0.4,656,0 days 00:07:35.190133,True,False,5000,0.01
62,19,0.6000000000000003,0 days 00:00:04.665777,,676,1,0.4,676,0 days 00:07:43.474017,True,False,5000,0.01
63,6,-0.7,0 days 00:00:02.082628,,683,1,0.4,683,0 days 00:07:49.174189,True,False,5000,0.01
64,18,0.5000000000000002,0 days 00:00:06.583305,,702,1,0.4,702,0 days 00:07:59.375173,True,False,5000,0.01
65,11,-0.20000000000000007,0 days 00:00:03.998034,,714,1,0.4,714,0 days 00:08:06.991438,True,False,5000,0.01
66,14,0.09999999999999987,0 days 00:00:04.749637,,729,1,0.4,729,0 days 00:08:15.359189,True,False,5000,0.01
67,6,-0.7,0 days 00:00:02.082315,,736,1,0.4,736,0 days 00:08:21.058906,True,False,5000,0.01
68,29,1.600000000000001,0 days 00:00:07.999221,,766,1,0.4,766,0 days 00:08:32.678149,True,False,5000,0.01
69,6,-0.7,0 days 00:00:02.616356,,773,1,0.4,773,0 days 00:08:38.910576,True,False,5000,0.01
70,9,-0.4,0 days 00:00:03.832172,,783,1,0.4,783,0 days 00:08:46.360611,True,False,5000,0.01
71,7,-0.6,0 days 00:00:03.165022,,791,1,0.4,791,0 days 00:08:53.143405,True,False,5000,0.01
72,7,-0.6,0 days 00:00:02.165824,,799,1,0.4,799,0 days 00:08:58.927259,True,False,5000,0.01
73,8,-0.5,0 days 00:00:04.248635,,808,1,0.4,808,0 days 00:09:06.794086,True,False,5000,0.01
74,12,-0.10000000000000009,0 days 00:00:03.582082,,821,1,0.4,821,0 days 00:09:13.994356,True,False,5000,0.01
75,7,-0.6,0 days 00:00:02.164342,,829,1,0.4,829,0 days 00:09:19.777283,True,False,5000,0.01
76,7,-0.6,0 days 00:00:02.165232,,837,1,0.4,837,0 days 00:09:25.561826,True,False,5000,0.01
77,15,0.19999999999999996,0 days 00:00:05.333053,,853,1,0.4,853,0 days 00:09:34.512682,True,False,5000,0.01
78,6,-0.7,0 days 00:00:02.082764,,860,1,0.4,860,0 days 00:09:40.213204,True,False,5000,0.01
79,20,0.7000000000000004,0 days 00:00:06.249191,,881,1,0.4,881,0 days 00:09:50.079812,True,False,5000,0.01
80,6,-0.7,0 days 00:00:02.082036,,888,1,0.4,888,0 days 00:09:55.780193,True,False,5000,0.01
81,5,-0.7999999999999999,0 days 00:00:02.998552,,894,1,0.4,894,0 days 00:10:02.529174,True,False,5000,0.01
82,7,-0.6,0 days 00:00:02.164892,,902,1,0.4,902,0 days 00:10:08.313127,True,False,5000,0.01
83,7,-0.6,0 days 00:00:02.162131,,910,1,0.4,910,0 days 00:10:14.097358,True,False,5000,0.01
84,13,-1.1102230246251565e-16,0 days 00:00:05.662896,,924,1,0.4,924,0 days 00:10:23.380639,True,False,5000,0.01
85,7,-0.6,0 days 00:00:03.665140,,932,1,0.4,932,0 days 00:10:30.663509,True,False,5000,0.01
86,7,-0.6,0 days 00:00:02.165395,,940,1,0.4,940,0 days 00:10:36.447779,True,False,5000,0.01
87,14,0.09999999999999987,0 days 00:00:04.749362,,955,1,0.4,955,0 days 00:10:44.814610,True,False,5000,0.01
88,7,-0.6,0 days 00:00:03.165720,,963,1,0.4,963,0 days 00:10:51.599087,True,False,5000,0.01
89,6,-0.7,0 days 00:00:02.080914,,970,1,0.4,970,0 days 00:10:57.298533,True,False,5000,0.01
90,7,-0.6,0 days 00:00:03.664391,,978,1,0.4,978,0 days 00:11:04.581487,True,False,5000,0.01
91,7,-0.6,0 days 00:00:03.164733,,986,1,0.4,986,0 days 00:11:11.365507,True,False,5000,0.01
92,9,-0.4,0 days 00:00:04.331744,,996,1,0.4,996,0 days 00:11:19.316073,True,False,5000,0.01
93,7,-0.6,0 days 00:00:03.165395,,1004,1,0.4,1004,0 days 00:11:26.099289,True,False,5000,0.01
94,7,-0.6,0 days 00:00:02.165459,,1012,1,0.4,1012,0 days 00:11:31.883562,True,False,5000,0.01
95,7,-0.6,0 days 00:00:02.166620,,1020,1,0.4,1020,0 days 00:11:37.667910,True,False,5000,0.01
96,7,-0.6,0 days 00:00:03.165034,,1028,1,0.4,1028,0 days 00:11:44.450216,True,False,5000,0.01
97,7,-0.6,0 days 00:00:03.166630,,1036,1,0.4,1036,0 days 00:11:51.235616,True,False,5000,0.01
98,15,0.19999999999999996,0 days 00:00:06.332807,,1052,1,0.4,1052,0 days 00:12:01.184827,True,False,5000,0.01
99,6,-0.7,0 days 00:00:02.082425,,1059,1,0.4,1059,0 days 00:12:06.885101,True,False,5000,0.01
100,7,-0.6,0 days 00:00:02.165175,,1067,1,0.4,1067,0 days 00:12:12.668196,True,False,5000,0.01
101,9,-0.4,0 days 00:00:03.332133,,1077,1,0.4,1077,0 days 00:12:19.618639,True,False,5000,0.01
102,10,-0.30000000000000004,0 days 00:00:03.415217,,1088,1,0.4,1088,0 days 00:12:26.651914,True,False,5000,0.01
103,6,-0.7,0 days 00:00:02.082912,,1095,1,0.4,1095,0 days 00:12:32.352841,True,False,5000,0.01
104,13,-1.1102230246251565e-16,0 days 00:00:05.666696,,1109,1,0.4,1109,0 days 00:12:41.636831,True,False,5000,0.01
105,23,1.0000000000000004,0 days 00:00:08.500726,,1133,1,0.4,1133,0 days 00:12:53.754312,True,False,5000,0.01
106,6,-0.7,0 days 00:00:02.081919,,1140,1,0.4,1140,0 days 00:12:59.453796,True,False,5000,0.01
107,18,0.5000000000000002,0 days 00:00:06.082994,,1159,1,0.4,1159,0 days 00:13:09.154407,True,False,5000,0.01
108,8,-0.5,0 days 00:00:03.248812,,1168,1,0.4,1168,0 days 00:13:16.020530,True,False,5000,0.01
109,9,-0.4,0 days 00:00:04.332630,,1178,1,0.4,1178,0 days 00:13:23.971216,True,False,5000,0.01
110,7,-0.6,0 days 00:00:02.164759,,1186,1,0.4,1186,0 days 00:13:29.755144,True,False,5000,0.01
111,6,-0.7,0 days 00:00:02.082225,,1193,1,0.4,1193,0 days 00:13:35.454911,True,False,5000,0.01
112,12,-0.10000000000000009,0 days 00:00:02.081685,,1206,1,0.4,1206,0 days 00:13:41.154713,True,False,5000,0.01
113,17,0.40000000000000013,0 days 00:00:05.500225,,1224,1,0.4,1224,0 days 00:13:50.272925,True,False,5000,0.01
114,7,-0.6,0 days 00:00:02.165540,,1232,1,0.4,1232,0 days 00:13:56.055296,True,False,5000,0.01
115,6,-0.7,0 days 00:00:02.081503,,1239,1,0.4,1239,0 days 00:14:01.755606,True,False,5000,0.01
116,7,-0.6,0 days 00:00:03.164393,,1247,1,0.4,1247,0 days 00:14:08.539138,True,False,5000,0.01
117,6,-0.7,0 days 00:00:02.082983,,1254,1,0.4,1254,0 days 00:14:14.239845,True,False,5000,0.01
118,6,-0.7,0 days 00:00:02.082048,,1261,1,0.4,1261,0 days 00:14:19.940109,True,False,5000,0.01
119,6,-0.7,0 days 00:00:03.081964,,1268,1,0.4,1268,0 days 00:14:26.640071,True,False,5000,0.01
120,6,-0.7,0 days 00:00:02.082694,,1275,1,0.4,1275,0 days 00:14:32.340982,True,False,5000,0.01
121,8,-0.5,0 days 00:00:03.247741,,1284,1,0.4,1284,0 days 00:14:39.407212,True,False,5000,0.01
122,10,-0.30000000000000004,0 days 00:00:03.916032,,1295,1,0.4,1295,0 days 00:14:46.941084,True,False,5000,0.01
123,8,-0.5,0 days 00:00:04.248919,,1304,1,0.4,1304,0 days 00:14:54.808605,True,False,5000,0.01
