epoch,epoch_steps,epoch_rewards,epoch_time,epoch_avg_q,total_steps,epsilon,beta,memory_len,total_run_time,dueling,noisy_net,pretraining_steps
441,30,1.6900000000000013,0 days 00:00:03.071355,0.26269633,11206,1,0.4028600000000029,11206,0 days 00:48:32.298191,True,True,10000
442,30,1.6900000000000013,0 days 00:00:03.061284,0.30676818,11237,1,0.40292000000000294,11237,0 days 00:48:38.972263,True,True,10000
443,41,2.7900000000000023,0 days 00:00:03.757451,0.3452229,11279,1,0.40302000000000304,11279,0 days 00:48:46.351436,True,True,10000
444,41,2.7900000000000023,0 days 00:00:03.773558,0.28314495,11321,1,0.40312000000000314,11321,0 days 00:48:53.751132,True,True,10000
445,40,2.690000000000002,0 days 00:00:03.711280,0.30854124,11362,1,0.40322000000000324,11362,0 days 00:49:01.088903,True,True,10000
446,41,2.7900000000000023,0 days 00:00:03.740519,0.37716654,11404,1,0.40332000000000334,11404,0 days 00:49:08.452743,True,True,10000
447,40,2.690000000000002,0 days 00:00:03.740043,0.39151314,11445,1,0.40342000000000344,11445,0 days 00:49:15.818601,True,True,10000
448,41,2.7900000000000023,0 days 00:00:03.763296,0.39214298,11487,1,0.40352000000000354,11487,0 days 00:49:23.208394,True,True,10000
449,41,2.7900000000000023,0 days 00:00:03.760106,0.380652,11529,1,0.40362000000000364,11529,0 days 00:49:30.590138,True,True,10000
450,41,2.7900000000000023,0 days 00:00:03.771156,0.35636356,11571,1,0.40372000000000374,11571,0 days 00:49:37.982842,True,True,10000
451,41,2.7900000000000023,0 days 00:00:03.758775,0.42932886,11613,1,0.40382000000000384,11613,0 days 00:49:45.354289,True,True,10000
452,41,2.7900000000000023,0 days 00:00:03.769592,0.39207536,11655,1,0.40392000000000394,11655,0 days 00:49:52.750213,True,True,10000
453,41,2.7900000000000023,0 days 00:00:03.789428,0.37240505,11697,1,0.40402000000000404,11697,0 days 00:50:00.153026,True,True,10000
454,40,2.690000000000002,0 days 00:00:03.701490,0.40382126,11738,1,0.40412000000000414,11738,0 days 00:50:07.482898,True,True,10000
455,41,2.7900000000000023,0 days 00:00:03.737266,0.4650369,11780,1,0.40422000000000424,11780,0 days 00:50:14.834141,True,True,10000
456,41,2.7900000000000023,0 days 00:00:03.782613,0.4626829,11822,1,0.40432000000000434,11822,0 days 00:50:22.230906,True,True,10000
457,41,2.7900000000000023,0 days 00:00:03.773293,0.46388593,11864,1,0.40442000000000444,11864,0 days 00:50:29.621960,True,True,10000
458,41,2.7900000000000023,0 days 00:00:03.800801,0.53146124,11906,1,0.40452000000000454,11906,0 days 00:50:37.048471,True,True,10000
459,41,2.7900000000000023,0 days 00:00:03.778713,0.5348843,11948,1,0.40462000000000464,11948,0 days 00:50:44.443687,True,True,10000
460,41,2.7900000000000023,0 days 00:00:03.785221,0.42435682,11990,1,0.40472000000000474,11990,0 days 00:50:51.851704,True,True,10000
461,41,2.7900000000000023,0 days 00:00:03.770839,0.4841405,12032,1,0.40482000000000484,12032,0 days 00:50:59.237051,True,True,10000
462,40,2.690000000000002,0 days 00:00:03.714934,0.5852895,12073,1,0.40492000000000494,12073,0 days 00:51:06.565510,True,True,10000
463,40,2.690000000000002,0 days 00:00:03.723135,0.47922066,12114,1,0.40502000000000504,12114,0 days 00:51:13.906409,True,True,10000
464,41,2.7900000000000023,0 days 00:00:03.753127,0.5125493,12156,1,0.40512000000000514,12156,0 days 00:51:21.286351,True,True,10000
465,41,2.7900000000000023,0 days 00:00:03.746480,0.52453256,12198,1,0.40522000000000524,12198,0 days 00:51:28.646697,True,True,10000
466,40,2.690000000000002,0 days 00:00:03.710897,0.52628666,12239,1,0.40532000000000534,12239,0 days 00:51:35.978163,True,True,10000
467,41,2.7900000000000023,0 days 00:00:03.745389,0.5358093,12281,1,0.40542000000000544,12281,0 days 00:51:43.345776,True,True,10000
468,41,2.7900000000000023,0 days 00:00:03.727762,0.5543382,12323,1,0.40552000000000554,12323,0 days 00:51:50.695829,True,True,10000
469,41,2.7900000000000023,0 days 00:00:03.662678,0.33507323,12365,1,0.40562000000000564,12365,0 days 00:51:57.981508,True,True,10000
470,41,2.7900000000000023,0 days 00:00:03.756732,0.30215493,12407,1,0.40572000000000574,12407,0 days 00:52:05.358481,True,True,10000
471,41,2.7900000000000023,0 days 00:00:03.779311,0.38372222,12449,1,0.40582000000000584,12449,0 days 00:52:12.764255,True,True,10000
472,41,2.7900000000000023,0 days 00:00:03.750609,0.46266764,12491,1,0.40592000000000594,12491,0 days 00:52:20.135938,True,True,10000
473,41,2.7900000000000023,0 days 00:00:03.735761,0.46329647,12533,1,0.40602000000000604,12533,0 days 00:52:27.488284,True,True,10000
