epoch,epoch_steps,epoch_rewards,epoch_time,epoch_avg_q,total_steps,epsilon,beta,memory_len,total_run_time,dueling,noisy_net,pretraining_steps,tau
0,566,55.30000000000053,0 days 00:01:45.410915,14.780015,567,0.0008776068411365946,0.9999900233333353,150000,0 days 00:14:29.604217,True,False,0,0.01
1,308,29.500000000000163,0 days 00:00:57.519658,,876,0.0008173348179780337,0.999990036000003,150000,0 days 00:15:30.747722,True,False,0,0.01
2,112,9.899999999999977,0 days 00:00:21.508159,15.008534,989,0.0007963426939898675,0.9999900406666701,150000,0 days 00:15:55.871924,True,False,0,0.01
3,182,16.899999999999984,0 days 00:00:32.171642,,1172,0.0007634841051830486,0.999990048000004,150000,0 days 00:16:31.686290,True,False,0,0.01
4,1303,128.9999999999969,0 days 00:04:14.934018,,2476,0.0005654575406875454,0.9999901020000085,150000,0 days 00:20:50.250534,True,False,0,0.01
5,1202,118.89999999999746,0 days 00:03:47.184240,,3679,0.00042864720870229963,0.9999901520000126,150000,0 days 00:24:41.061747,True,False,0,0.01
6,2976,296.2999999999991,0 days 00:10:02.232068,14.347556,6656,0.00021597326806886222,0.9999902760000229,150000,0 days 00:34:46.919166,True,False,0,0.01
7,4523,451.0000000000343,0 days 00:14:56.719126,14.328613,11180,9.999999999994632e-05,0.9999904426667033,150000,0 days 00:49:47.265509,True,False,0,0.01
8,104,9.09999999999998,0 days 00:00:19.726586,14.992799,11285,9.999999999994632e-05,0.999990447000037,150000,0 days 00:50:10.611379,True,False,0,0.01
9,711,69.80000000000025,0 days 00:02:14.688572,14.549735,11997,9.999999999994632e-05,0.9999904763333728,150000,0 days 00:52:28.923732,True,False,0,0.01
10,1362,134.89999999999657,0 days 00:04:24.149389,14.260271,13360,9.999999999994632e-05,0.9999905330000441,150000,0 days 00:56:56.691285,True,False,0,0.01
11,1896,188.29999999999353,0 days 00:06:22.889066,14.340958,15257,9.999999999994632e-05,0.9999906120000507,150000,0 days 01:03:23.209058,True,False,0,0.01
12,1579,156.59999999999533,0 days 00:05:26.599776,14.251236,16837,9.999999999994632e-05,0.9999906776667228,150000,0 days 01:08:53.436653,True,False,0,0.01
13,1553,153.99999999999548,0 days 00:05:22.726679,14.394576,18391,9.999999999994632e-05,0.9999907423333948,150000,0 days 01:14:19.794885,True,False,0,0.01
14,636,62.30000000000063,0 days 00:02:01.203908,14.553044,19028,9.999999999994632e-05,0.9999907686667303,150000,0 days 01:16:24.635337,True,False,0,0.01
15,1273,125.99999999999706,0 days 00:04:27.313465,14.378452,20302,9.999999999994632e-05,0.9999908216667347,150000,0 days 01:20:55.566383,True,False,0,0.01
16,2891,287.79999999999717,0 days 00:10:42.673594,14.160084,23194,9.999999999994632e-05,0.999990942000078,150000,0 days 01:31:41.872074,True,False,0,0.01
17,3694,368.1000000000154,0 days 00:13:34.946624,14.168239,26889,9.999999999994632e-05,0.9999910956667574,150000,0 days 01:45:20.439412,True,False,0,0.01
18,5123,511.00000000004786,0 days 00:18:47.281166,14.251541,32013,9.999999999994632e-05,0.9999912623334378,150000,0 days 02:04:11.359307,True,False,0,0.01
19,3679,366.6000000000151,0 days 00:14:09.230168,14.322541,35693,9.999999999994632e-05,0.9999914153334505,150000,0 days 02:18:24.221202,True,False,0,0.01
20,2482,246.8999999999902,0 days 00:09:31.912710,14.263315,38176,9.999999999994632e-05,0.9999915186667924,150000,0 days 02:27:59.773392,True,False,0,0.01
21,1806,179.29999999999404,0 days 00:06:56.394956,14.209106,39983,9.999999999994632e-05,0.9999915936667986,150000,0 days 02:34:59.797648,True,False,0,0.01
22,195,18.200000000000003,0 days 00:00:42.833497,,40179,9.999999999994632e-05,0.9999916016667992,150000,0 days 02:35:46.269856,True,False,0,0.01
23,2553,253.9999999999898,0 days 00:10:10.250059,14.210567,42733,9.999999999994632e-05,0.9999917080001414,150000,0 days 02:46:00.154326,True,False,0,0.01
24,263,25.0000000000001,0 days 00:00:59.698319,14.760187,42997,9.999999999994632e-05,0.9999917186668089,150000,0 days 02:47:03.479168,True,False,0,0.01
25,1857,184.39999999999375,0 days 00:07:14.879468,14.243312,44855,9.999999999994632e-05,0.9999917960001486,150000,0 days 02:54:21.996420,True,False,0,0.01
26,1068,105.49999999999822,0 days 00:04:09.563982,,45924,9.999999999994632e-05,0.9999918403334856,150000,0 days 02:58:35.197292,True,False,0,0.01
27,1341,132.7999999999967,0 days 00:05:18.473767,14.229713,47266,9.999999999994632e-05,0.9999918960001569,150000,0 days 03:03:57.302050,True,False,0,0.01
