epoch,epoch_steps,epoch_rewards,epoch_time,epoch_avg_q,total_steps,epsilon,beta,memory_len,total_run_time,dueling,noisy_net,pretraining_steps,tau
0,158,14.499999999999961,0 days 00:00:33.799807,12.691746,159,0.00096405097901074,0.9999900063333339,150000,0 days 00:06:14.085910,True,False,0,0.01
1,827,81.3999999999996,0 days 00:02:32.198713,,987,0.0007967095078086072,0.9999900406666701,150000,0 days 00:08:49.934890,True,False,0,0.01
2,3665,365.20000000001477,0 days 00:12:18.273034,,4653,0.0003425310927082339,0.9999901933333494,150000,0 days 00:21:11.832976,True,False,0,0.01
3,719,70.60000000000021,0 days 00:02:09.460685,12.62473,5373,0.0002902017319379392,0.9999902230000185,150000,0 days 00:23:24.916759,True,False,0,0.01
4,256,24.30000000000009,0 days 00:00:45.472086,12.698916,5630,0.0002735268726305885,0.999990233666686,150000,0 days 00:24:14.016507,True,False,0,0.01
5,2782,276.8999999999947,0 days 00:09:17.935853,12.616625,8413,0.00014411195175194542,0.9999903493333623,150000,0 days 00:33:35.583896,True,False,0,0.01
6,1105,109.19999999999801,0 days 00:03:26.851824,12.731338,9519,0.00011171204446562643,0.9999903953333661,150000,0 days 00:37:06.055275,True,False,0,0.01
7,846,83.29999999999949,0 days 00:02:42.224178,12.673236,10366,9.999999999994632e-05,0.999990430333369,150000,0 days 00:39:51.903060,True,False,0,0.01
8,10612,1059.9000000001306,0 days 00:32:52.178272,,20979,9.999999999994632e-05,0.9999905970000494,150000,0 days 01:12:47.715591,True,False,0,0.01
9,750,73.70000000000003,0 days 00:02:14.722399,12.67758,21730,9.999999999994632e-05,0.999990628000052,150000,0 days 01:15:06.073011,True,False,0,0.01
10,345,33.200000000000216,0 days 00:01:00.858087,12.795604,22076,9.999999999994632e-05,0.9999906423333865,150000,0 days 01:16:10.547891,True,False,0,0.01
11,830,81.69999999999958,0 days 00:02:39.640116,12.746251,22907,9.999999999994632e-05,0.9999906766667227,150000,0 days 01:18:53.815310,True,False,0,0.01
12,5155,514.2000000000486,0 days 00:17:42.978657,12.830876,28063,9.999999999994632e-05,0.9999908433334032,150000,0 days 01:36:40.412162,True,False,0,0.01
13,4479,446.6000000000333,0 days 00:16:24.823363,12.802389,32543,9.999999999994632e-05,0.9999910100000836,150000,0 days 01:53:08.868893,True,False,0,0.01
14,2781,276.79999999999467,0 days 00:10:22.511654,12.798942,35325,9.999999999994632e-05,0.9999911256667599,150000,0 days 02:03:35.015163,True,False,0,0.01
15,2034,202.09999999999275,0 days 00:07:39.207662,,37360,9.999999999994632e-05,0.9999912103334335,150000,0 days 02:11:17.855981,True,False,0,0.01
16,2458,244.49999999999034,0 days 00:09:21.078287,12.877971,39819,9.999999999994632e-05,0.9999913126667753,150000,0 days 02:20:42.562209,True,False,0,0.01
17,2871,285.7999999999967,0 days 00:11:11.579990,12.871987,42691,9.999999999994632e-05,0.9999914320001185,150000,0 days 02:31:57.770907,True,False,0,0.01
18,94,8.099999999999984,0 days 00:00:19.596332,12.967585,42786,9.999999999994632e-05,0.9999914356667855,150000,0 days 02:32:20.997292,True,False,0,0.01
19,1671,165.7999999999948,0 days 00:06:26.810334,12.99002,44458,9.999999999994632e-05,0.9999915050001246,150000,0 days 02:38:51.445499,True,False,0,0.01
20,2385,237.19999999999075,0 days 00:09:20.634575,12.86925,46844,9.999999999994632e-05,0.9999916043334661,150000,0 days 02:48:15.719062,True,False,0,0.01
21,8155,814.2000000001168,0 days 00:29:07.278273,,55000,9.999999999994632e-05,0.9999917710001466,150000,0 days 03:17:26.638885,True,False,0,0.01
22,973,95.99999999999876,0 days 00:03:37.672856,,55974,9.999999999994632e-05,0.9999918113334832,150000,0 days 03:21:07.956437,True,False,0,0.01
23,8196,818.3000000001177,0 days 00:30:04.354791,12.914132,64171,9.999999999994632e-05,0.9999919780001637,150000,0 days 03:51:15.946449,True,False,0,0.01
24,2429,241.5999999999905,0 days 00:10:20.985497,12.901182,66601,9.999999999994632e-05,0.9999920790001721,150000,0 days 04:01:40.570414,True,False,0,0.01
25,2017,200.39999999999284,0 days 00:08:30.249346,12.808508,68619,9.999999999994632e-05,0.999992163000179,150000,0 days 04:10:14.461076,True,False,0,0.01
26,18,0.5000000000000002,0 days 00:00:04.113532,12.25994,68638,9.999999999994632e-05,0.9999921636668457,150000,0 days 04:10:22.213250,True,False,0,0.01
27,287,27.400000000000134,0 days 00:01:07.100504,12.872096,68926,9.999999999994632e-05,0.9999921753335134,150000,0 days 04:11:32.950305,True,False,0,0.01
28,3530,351.7000000000117,0 days 00:15:49.742436,,72457,9.999999999994632e-05,0.9999923223335255,150000,0 days 04:27:26.328153,True,False,0,0.01
29,1013,99.99999999999854,0 days 00:04:06.038824,12.954831,73471,9.999999999994632e-05,0.999992364333529,150000,0 days 04:31:36.016703,True,False,0,0.01
30,377,36.40000000000026,0 days 00:01:33.135729,12.999723,73849,9.999999999994632e-05,0.999992380000197,150000,0 days 04:33:12.788549,True,False,0,0.01
31,4232,421.90000000002766,0 days 00:19:05.840318,13.003578,78082,9.999999999994632e-05,0.9999925466668774,150000,0 days 04:52:22.264537,True,False,0,0.01
32,3532,351.90000000001174,0 days 00:15:58.393711,13.030609,81615,9.999999999994632e-05,0.9999926936668896,150000,0 days 05:08:24.297204,True,False,0,0.01
33,541,52.800000000000495,0 days 00:02:05.153052,13.039226,82157,9.999999999994632e-05,0.9999927160002248,150000,0 days 05:10:33.098486,True,False,0,0.01
34,847,83.39999999999948,0 days 00:03:33.995114,13.012784,83005,9.999999999994632e-05,0.9999927510002277,150000,0 days 05:14:10.746868,True,False,0,0.01
35,856,84.29999999999943,0 days 00:03:32.957150,13.071598,83862,9.999999999994632e-05,0.9999927866668973,150000,0 days 05:17:47.350613,True,False,0,0.01
