epoch,epoch_steps,tot_steps,tot_run_time,epsilon
0,15,16,0 days 00:05:24.807043,1
1,14,31,0 days 00:05:33.974404,1
2,4,36,0 days 00:05:40.508446,1
3,14,51,0 days 00:05:50.209394,1
4,12,64,0 days 00:05:58.741555,1
5,9,74,0 days 00:06:05.525536,1
6,10,85,0 days 00:06:12.358917,1
7,10,96,0 days 00:06:19.193367,1
8,10,107,0 days 00:06:26.558735,1
9,14,122,0 days 00:06:35.192191,1
10,9,132,0 days 00:06:40.909281,1
11,7,140,0 days 00:06:48.127666,1
12,12,153,0 days 00:06:55.593557,1
13,10,164,0 days 00:07:01.359770,1
14,15,180,0 days 00:07:10.579195,1
15,9,190,0 days 00:07:16.827434,1
16,10,201,0 days 00:07:26.327937,1
17,7,209,0 days 00:07:33.012587,1
18,11,221,0 days 00:07:41.496042,1
19,11,233,0 days 00:07:47.312390,1
20,13,247,0 days 00:07:54.443535,1
21,7,255,0 days 00:08:01.663268,1
22,12,268,0 days 00:08:10.731397,1
23,9,278,0 days 00:08:16.447671,1
24,8,287,0 days 00:08:23.181624,1
25,10,298,0 days 00:08:31.613476,1
26,14,313,0 days 00:08:40.247516,1
27,8,322,0 days 00:08:46.981492,1
28,15,338,0 days 00:08:54.599599,1
29,16,355,0 days 00:09:02.267207,1
30,9,365,0 days 00:09:08.516121,1
31,24,390,0 days 00:09:17.649118,1
32,9,400,0 days 00:09:23.365468,1
33,11,412,0 days 00:09:30.783406,1
34,9,422,0 days 00:09:36.500366,1
35,17,440,0 days 00:09:46.350740,1
36,12,453,0 days 00:09:55.417002,1
37,9,463,0 days 00:10:01.135672,1
38,14,478,0 days 00:10:09.234046,1
39,9,488,0 days 00:10:14.952331,1
40,9,498,0 days 00:10:22.338857,1
41,18,517,0 days 00:10:31.170195,1
42,9,527,0 days 00:10:36.887305,1
43,11,539,0 days 00:10:43.769250,1
44,10,550,0 days 00:10:51.137077,1
45,12,563,0 days 00:11:00.736789,1
46,15,579,0 days 00:11:09.420372,1
47,5,585,0 days 00:11:16.004621,1
48,11,597,0 days 00:11:21.821223,1
49,10,608,0 days 00:11:29.187489,1
50,12,621,0 days 00:11:37.188232,1
51,10,632,0 days 00:11:44.022045,1
52,9,642,0 days 00:11:50.805811,1
53,24,667,0 days 00:12:03.139565,1
54,8,676,0 days 00:12:09.872504,1
55,12,689,0 days 00:12:17.339635,1
56,9,699,0 days 00:12:23.589598,1
57,7,707,0 days 00:12:30.806424,1
58,9,717,0 days 00:12:37.591197,1
59,6,724,0 days 00:12:44.225909,1
60,9,734,0 days 00:12:50.580295,1
61,21,756,0 days 00:13:01.691117,1
62,10,767,0 days 00:13:09.059725,1
63,9,777,0 days 00:13:15.308991,1
64,9,787,0 days 00:13:21.027352,1
65,18,806,0 days 00:13:30.927007,1
66,7,814,0 days 00:13:37.609958,1
67,11,826,0 days 00:13:44.493500,1
68,16,843,0 days 00:13:51.626423,1
69,21,865,0 days 00:14:03.811510,1
70,9,875,0 days 00:14:10.594438,1
71,8,884,0 days 00:14:17.861526,1
72,9,894,0 days 00:14:23.579231,1
73,11,906,0 days 00:14:32.594469,1
74,7,914,0 days 00:14:39.277822,1
75,12,927,0 days 00:14:47.278471,1
76,5,933,0 days 00:14:54.396240,1
77,7,941,0 days 00:15:01.079008,1
78,8,950,0 days 00:15:08.346735,1
79,7,958,0 days 00:15:16.096057,1
80,17,976,0 days 00:15:25.026451,1
81,9,986,0 days 00:15:30.748763,1
82,7,994,0 days 00:15:37.430638,1
83,4,999,0 days 00:15:43.964961,1
84,5,1005,0 days 00:15:50.547478,1
85,8,1014,0 days 00:15:57.283862,1
86,8,1023,0 days 00:16:04.548596,1
87,10,1034,0 days 00:16:10.314983,1
88,11,1046,0 days 00:16:18.266654,1
89,18,1065,0 days 00:16:28.700094,1
90,9,1075,0 days 00:16:36.017003,1
91,9,1085,0 days 00:16:42.800130,1
92,6,1092,0 days 00:16:49.433291,1
93,9,1102,0 days 00:16:55.150146,1
94,10,1113,0 days 00:17:01.983482,1
95,7,1121,0 days 00:17:08.668267,1
96,9,1131,0 days 00:17:15.451011,1
97,7,1139,0 days 00:17:22.134818,1
98,9,1149,0 days 00:17:27.853294,1
99,9,1159,0 days 00:17:33.570437,1
100,9,1169,0 days 00:17:40.526117,1
101,8,1178,0 days 00:17:47.786171,1
102,10,1189,0 days 00:17:55.153698,1
103,7,1197,0 days 00:18:01.838747,1
104,20,1218,0 days 00:18:12.370746,1
105,14,1233,0 days 00:18:21.539050,1
106,9,1243,0 days 00:18:27.255351,1
107,9,1253,0 days 00:18:33.504806,1
108,16,1270,0 days 00:18:41.173291,1
109,10,1281,0 days 00:18:48.004942,1
110,11,1293,0 days 00:18:56.488535,1
111,9,1303,0 days 00:19:02.738462,1
112,9,1313,0 days 00:19:08.989256,1
113,8,1322,0 days 00:19:16.789301,1
114,15,1338,0 days 00:19:27.074098,1
115,6,1345,0 days 00:19:33.707304,1
116,13,1359,0 days 00:19:41.223897,1
117,14,1374,0 days 00:19:49.858232,1
118,11,1386,0 days 00:19:57.274803,1
119,8,1395,0 days 00:20:04.007503,1
120,9,1405,0 days 00:20:10.467792,1
121,8,1414,0 days 00:20:17.725886,1
122,7,1422,0 days 00:20:24.942661,1
123,22,1445,0 days 00:20:35.577757,1
124,12,1458,0 days 00:20:43.644096,1
125,9,1468,0 days 00:20:49.893686,1
126,12,1481,0 days 00:20:57.893943,1
127,7,1489,0 days 00:21:05.110560,1
128,8,1498,0 days 00:21:11.844484,1
129,9,1508,0 days 00:21:18.627064,1
130,13,1522,0 days 00:21:27.744193,1
131,8,1531,0 days 00:21:34.480528,1
132,10,1542,0 days 00:21:42.912389,1
133,9,1552,0 days 00:21:50.228771,1
134,9,1562,0 days 00:21:55.945311,1
135,12,1575,0 days 00:22:05.013785,1
136,9,1585,0 days 00:22:11.262458,1
137,9,1595,0 days 00:22:16.979831,1
138,12,1608,0 days 00:22:24.448781,1
139,12,1621,0 days 00:22:30.848709,1
140,4,1626,0 days 00:22:37.628791,1
141,8,1635,0 days 00:22:45.430675,1
142,9,1645,0 days 00:22:51.148417,1
143,11,1657,0 days 00:22:58.564483,1
144,7,1665,0 days 00:23:05.248597,1
145,10,1676,0 days 00:23:12.082802,1
146,9,1686,0 days 00:23:17.798314,1
147,7,1694,0 days 00:23:25.016548,1
148,8,1703,0 days 00:23:30.684613,1
149,9,1713,0 days 00:23:36.933093,1
150,9,1723,0 days 00:23:42.651293,1
151,8,1732,0 days 00:23:50.451654,1
152,10,1743,0 days 00:23:58.884094,1
153,8,1752,0 days 00:24:06.684817,1
154,11,1764,0 days 00:24:14.635435,1
155,9,1774,0 days 00:24:20.884285,1
156,9,1784,0 days 00:24:27.669957,1
157,16,1801,0 days 00:24:37.468666,1
158,11,1813,0 days 00:24:45.418954,1
159,10,1824,0 days 00:24:53.320547,1
160,10,1835,0 days 00:24:59.366098,1
161,9,1845,0 days 00:25:06.687012,1
162,16,1862,0 days 00:25:14.887339,1
163,10,1873,0 days 00:25:22.253911,1
164,12,1886,0 days 00:25:30.254506,1
165,7,1894,0 days 00:25:36.937934,1
166,6,1901,0 days 00:25:43.572320,1
167,7,1909,0 days 00:25:50.787620,1
168,22,1932,0 days 00:26:03.557026,1
169,5,1938,0 days 00:26:10.672760,1
170,9,1948,0 days 00:26:16.390756,1
171,9,1958,0 days 00:26:23.174935,1
172,10,1969,0 days 00:26:30.539561,1
173,10,1980,0 days 00:26:36.306704,1
174,11,1992,0 days 00:26:45.857901,1
175,8,2001,0 days 00:26:52.591429,1
176,9,2011,0 days 00:26:59.375524,1
177,5,2017,0 days 00:27:05.958807,1
178,11,2029,0 days 00:27:13.377102,1
179,9,2039,0 days 00:27:19.093551,1
180,8,2048,0 days 00:27:26.131586,1
181,9,2058,0 days 00:27:32.376337,1
182,7,2066,0 days 00:27:39.060170,1
183,7,2074,0 days 00:27:45.744474,1
184,8,2083,0 days 00:27:53.009458,1
185,9,2093,0 days 00:27:58.728683,1
186,11,2105,0 days 00:28:04.543613,1
187,9,2115,0 days 00:28:10.261368,1
188,8,2124,0 days 00:28:17.527672,1
189,15,2140,0 days 00:28:25.677846,1
190,9,2150,0 days 00:28:31.928671,1
191,9,2160,0 days 00:28:38.177859,1
192,21,2182,0 days 00:28:49.296348,1
193,7,2190,0 days 00:28:55.980650,1
194,11,2202,0 days 00:29:01.795931,1
195,16,2219,0 days 00:29:11.064268,1
196,9,2229,0 days 00:29:19.446926,1
197,9,2239,0 days 00:29:25.163610,1
198,9,2249,0 days 00:29:31.946547,1
199,13,2263,0 days 00:29:40.531114,1
200,10,2274,0 days 00:29:49.320949,1
201,8,2283,0 days 00:29:56.582088,1
202,8,2292,0 days 00:30:03.316600,1
203,9,2302,0 days 00:30:09.033531,1
204,39,2342,0 days 00:30:23.183224,1
205,23,2366,0 days 00:30:32.266794,1
206,9,2376,0 days 00:30:37.983068,1
207,11,2388,0 days 00:30:47.533205,1
208,7,2396,0 days 00:30:54.217934,1
209,19,2416,0 days 00:31:04.701374,1
210,13,2430,0 days 00:31:12.217625,1
211,11,2442,0 days 00:31:20.168500,1
212,8,2451,0 days 00:31:27.435073,1
213,7,2459,0 days 00:31:34.119292,1
214,11,2471,0 days 00:31:43.135374,1
215,9,2481,0 days 00:31:49.386373,1
216,12,2494,0 days 00:31:56.854114,1
217,17,2512,0 days 00:32:07.237140,1
218,9,2522,0 days 00:32:13.487092,1
219,9,2532,0 days 00:32:19.736772,1
220,14,2547,0 days 00:32:26.633863,1
221,8,2556,0 days 00:32:33.372879,1
222,20,2577,0 days 00:32:43.373269,1
223,10,2588,0 days 00:32:50.739095,1
224,9,2598,0 days 00:32:56.455782,1
225,9,2608,0 days 00:33:03.239757,1
226,14,2623,0 days 00:33:11.874762,1
227,9,2633,0 days 00:33:19.722503,1
228,18,2652,0 days 00:33:28.557167,1
229,16,2669,0 days 00:33:36.224133,1
230,9,2679,0 days 00:33:41.940055,1
231,9,2689,0 days 00:33:47.656652,1
232,9,2699,0 days 00:33:54.441538,1
233,9,2709,0 days 00:34:01.757494,1
234,9,2719,0 days 00:34:08.008775,1
235,10,2730,0 days 00:34:14.841737,1
236,13,2744,0 days 00:34:23.426008,1
237,8,2753,0 days 00:34:29.094960,1
238,9,2763,0 days 00:34:36.410857,1
239,9,2773,0 days 00:34:43.193167,1
240,11,2785,0 days 00:34:51.050115,1
241,8,2794,0 days 00:34:58.845053,1
242,13,2808,0 days 00:35:06.360772,1
243,14,2823,0 days 00:35:14.995529,1
244,24,2848,0 days 00:35:27.862042,1
245,21,2870,0 days 00:35:38.979012,1
246,9,2880,0 days 00:35:44.695410,1
247,17,2898,0 days 00:35:53.480732,1
248,13,2912,0 days 00:36:00.997360,1
249,9,2922,0 days 00:36:07.246124,1
250,8,2931,0 days 00:36:13.979654,1
251,9,2941,0 days 00:36:19.696351,1
