epoch,epoch_steps,tot_steps,tot_run_time,epsilon
0,1195,1196,0 days 00:02:55.569041000,0.001
1,948,2145,0 days 00:04:56.938947000,0.001
2,903,3049,0 days 00:06:56.836100000,0.001
3,1240,4290,0 days 00:09:45.203022000,0.001
4,628,4919,0 days 00:11:06.723302000,0.001
5,658,5578,0 days 00:12:38.209429000,0.001
6,793,6372,0 days 00:14:20.816591000,0.001
7,1072,7445,0 days 00:16:42.094174000,0.001
8,519,7965,0 days 00:17:59.265321000,0.001
9,50,8016,0 days 00:18:11.022561000,0.001
10,55,8072,0 days 00:18:23.852546000,0.001
11,820,8893,0 days 00:20:16.292958000,0.001
12,851,9745,0 days 00:22:12.571374000,0.001
13,676,10422,0 days 00:29:52.064858000,0.0009525767998554413
14,657,11080,0 days 00:37:21.497677000,0.0008830799004185181
15,453,11534,0 days 00:42:48.737034000,0.0008381080267271031
16,615,12150,0 days 00:49:50.913054000,0.0007807284401378269
17,319,12470,0 days 00:53:36.223596000,0.0007524887301734964
18,762,13233,0 days 01:02:32.845896000,0.0006892075082172083
19,876,14110,0 days 01:12:32.450583000,0.0006230171474289419
20,434,14545,0 days 01:17:34.920274000,0.0005925841075460418
21,513,15059,0 days 01:23:29.444478000,0.0005585344946952927
22,431,15491,0 days 01:28:26.034991000,0.0005314348122905237
23,608,16100,0 days 01:35:22.479144000,0.0004954501908046456
24,382,16483,0 days 01:39:48.962173000,0.0004740782161647867
25,525,17009,0 days 01:45:54.417119000,0.00044622099471418574
26,629,17639,0 days 01:53:06.644863000,0.0004150018187340148
27,55,17695,0 days 01:53:46.508088000,0.00041233480978946095
28,1296,18992,0 days 02:08:48.961200000,0.00035514033498273
29,1455,20448,0 days 02:25:50.386508000,0.0003003308878675065
30,936,21385,0 days 02:37:01.429582000,0.00026961869356803325
31,1118,22504,0 days 02:50:21.144916000,0.00023702818991283637
32,645,23150,0 days 02:58:21.719742000,0.00022003917096360154
33,278,23429,0 days 03:01:47.871574000,0.0002130835874966122
34,716,24146,0 days 03:10:18.987462000,0.00019620045039243222
35,371,24518,0 days 03:14:51.885296000,0.00018797495953142612
36,989,25508,0 days 03:26:31.226817000,0.00016772584943281168
37,1562,27071,0 days 03:45:29.338723000,0.00014010382751609496
38,1220,28292,0 days 04:00:07.399802000,0.00012173066653534146
39,305,28598,0 days 04:04:00.281685000,0.00011751681162463945
40,453,29052,0 days 04:09:33.774003000,0.00011153213095588406
41,315,29368,0 days 04:13:19.054345000,0.00010754742089717957
42,2131,31500,0 days 04:39:03.920726000,9.999999999990483e-05
43,837,32338,0 days 04:48:59.831383000,9.999999999990483e-05
44,829,33168,0 days 04:58:59.328718000,9.999999999990483e-05
45,1432,34601,0 days 05:16:17.195747000,9.999999999990483e-05
46,658,35260,0 days 05:24:07.827396000,9.999999999990483e-05
47,582,35843,0 days 05:31:04.265839000,9.999999999990483e-05
48,762,36606,0 days 05:40:20.475430000,9.999999999990483e-05
49,796,37403,0 days 05:49:55.308333000,9.999999999990483e-05
50,346,37750,0 days 05:54:21.446127000,9.999999999990483e-05
51,738,38489,0 days 06:03:11.420541000,9.999999999990483e-05
52,1768,40258,0 days 06:25:09.299866000,9.999999999990483e-05
53,468,40727,0 days 06:30:47.638052000,9.999999999990483e-05
54,171,40899,0 days 06:32:53.399134000,9.999999999990483e-05
55,922,41822,0 days 06:44:08.327666000,9.999999999990483e-05
56,260,42083,0 days 06:47:22.254067000,9.999999999990483e-05
57,529,42613,0 days 06:53:40.380665000,9.999999999990483e-05
58,569,43183,0 days 07:00:36.131101000,9.999999999990483e-05
59,508,43692,0 days 07:06:54.911782000,9.999999999990483e-05
60,1202,44895,0 days 07:21:42.131387000,9.999999999990483e-05
61,671,45567,0 days 07:29:56.972812000,9.999999999990483e-05
62,712,46280,0 days 07:38:42.538082000,9.999999999990483e-05
63,406,46687,0 days 07:43:40.434474000,9.999999999990483e-05
64,576,47264,0 days 07:50:43.215302000,9.999999999990483e-05
65,801,48066,0 days 08:00:37.519630000,9.999999999990483e-05
66,805,48872,0 days 08:10:46.306006000,9.999999999990483e-05
67,992,49865,0 days 08:23:17.861885000,9.999999999990483e-05
68,766,50632,0 days 08:32:53.455150000,9.999999999990483e-05
69,449,51082,0 days 08:38:37.259246000,9.999999999990483e-05
70,2232,53315,0 days 09:06:25.170641000,9.999999999990483e-05
71,404,53720,0 days 09:11:37.437353000,9.999999999990483e-05
72,1718,55439,0 days 09:33:17.617649000,9.999999999990483e-05
73,765,56205,0 days 09:42:49.049195000,9.999999999990483e-05
74,895,57101,0 days 09:53:45.859535000,9.999999999990483e-05
75,1792,58894,0 days 10:16:32.389116000,9.999999999990483e-05
76,940,59835,0 days 10:28:27.823050000,9.999999999990483e-05
77,399,60235,0 days 10:33:35.297236000,9.999999999990483e-05
78,697,60933,0 days 10:42:24.000028000,9.999999999990483e-05
79,844,61778,0 days 10:52:44.461936000,9.999999999990483e-05
80,544,62323,0 days 10:59:44.120157000,9.999999999990483e-05
81,1364,63688,0 days 11:17:07.399077000,9.999999999990483e-05
82,827,64516,0 days 11:27:27.220363000,9.999999999990483e-05
83,1303,65820,0 days 11:44:04.995747000,9.999999999990483e-05
84,535,66356,0 days 11:50:48.934413000,9.999999999990483e-05
