epoch,epoch_steps,epoch_rewards,epoch_time,epoch_avg_q,total_steps,epsilon,beta,memory_len,total_run_time,dueling,noisy_net,pretraining_steps,tau
0,157,14.399999999999961,0 days 00:00:33.497870,12.789211,158,0.0009642729855105177,0.9999900063333339,150000,0 days 00:01:43.039279,True,False,0,0.01
1,120,10.699999999999974,0 days 00:00:22.409063,12.800862,279,0.0009377779134121568,0.9999900113333343,150000,0 days 00:02:09.099484,True,False,0,0.01
2,20,0.7000000000000004,0 days 00:00:02.878747,12.790078,300,0.0009332543007969773,0.999990012000001,150000,0 days 00:02:15.603450,True,False,0,0.01
3,2630,261.69999999999123,0 days 00:08:50.638090,,2931,0.0005092136067910716,0.9999901213333434,150000,0 days 00:11:09.862309,True,False,0,0.01
4,1124,111.0999999999979,0 days 00:03:35.023534,,4056,0.00039300674134176776,0.999990168000014,150000,0 days 00:14:48.503703,True,False,0,0.01
5,5508,549.5000000000566,0 days 00:17:54.769853,,9565,0.00011053504693822761,0.9999903346666944,150000,0 days 00:32:46.893947,True,False,0,0.01
6,11774,1176.100000000025,0 days 00:37:06.309490,,21340,9.999999999994632e-05,0.9999905013333749,150000,0 days 01:09:56.827710,True,False,0,0.01
