epoch,epoch_steps,epoch_rewards,epoch_time,epoch_avg_q,total_steps,epsilon,beta,memory_len,total_run_time,dueling,noisy_net
2557,366,35.29000000000025,0 days 00:01:04.560119,10.4321575,90025,1,0.9137199999996557,90025,0 days 08:07:35.702534,True,True
2558,363,34.990000000000244,0 days 00:00:58.591308,10.449225,90389,1,0.9164199999996534,90389,0 days 08:08:37.937518,True,True
2559,372,35.890000000000256,0 days 00:01:07.946957,10.379131,90762,1,0.919179999999651,90762,0 days 08:09:49.528103,True,True
2560,365,35.190000000000246,0 days 00:01:02.136123,10.192931,91128,1,0.9218799999996488,91128,0 days 08:10:55.321225,True,True
2561,365,35.190000000000246,0 days 00:01:18.024244,10.323644,91494,1,0.9245799999996465,91494,0 days 08:12:16.994825,True,True
2562,257,24.39000000000009,0 days 00:00:52.540984,10.2717285,91752,1,0.9264999999996448,91752,0 days 08:13:13.180522,True,True
2563,425,41.19000000000033,0 days 00:01:03.430076,10.259518,92178,1,0.9296799999996421,92178,0 days 08:14:20.256245,True,True
2564,288,27.490000000000133,0 days 00:00:53.689280,10.267753,92467,1,0.9318399999996403,92467,0 days 08:15:17.600205,True,True
2565,280,26.690000000000122,0 days 00:00:53.499449,10.398662,92748,1,0.9339399999996385,92748,0 days 08:16:14.746135,True,True
2566,447,43.39000000000036,0 days 00:01:10.135206,10.454125,93196,1,0.9372399999996357,93196,0 days 08:17:28.535233,True,True
2567,290,27.690000000000136,0 days 00:00:56.091591,10.153068,93487,1,0.9393999999996339,93487,0 days 08:18:28.278901,True,True
2568,268,25.490000000000105,0 days 00:00:59.572198,10.227497,93756,1,0.9413799999996322,93756,0 days 08:19:31.493630,True,True
2569,366,35.29000000000025,0 days 00:01:03.898624,10.218592,94123,1,0.9440799999996299,94123,0 days 08:20:39.039933,True,True
2570,341,32.79000000000021,0 days 00:01:06.798560,10.273662,94465,1,0.9465999999996277,94465,0 days 08:21:49.492689,True,True
2571,241,22.790000000000067,0 days 00:00:49.764060,10.351062,94707,1,0.9483999999996262,94707,0 days 08:22:42.910913,True,True
2572,301,28.790000000000152,0 days 00:00:55.773811,10.207959,95009,1,0.9506199999996243,95009,0 days 08:23:42.338803,True,True
2573,159,14.58999999999996,0 days 00:00:26.829823,10.064845,95169,1,0.9517599999996234,95169,0 days 08:24:12.815931,True,True
2574,341,32.79000000000021,0 days 00:00:57.147482,10.209466,95511,1,0.9542799999996212,95511,0 days 08:25:13.617068,True,True
2575,512,49.890000000000455,0 days 00:01:16.951303,10.313484,96024,1,0.9581199999996179,96024,0 days 08:26:34.222815,True,True
2576,477,46.390000000000406,0 days 00:01:18.112992,10.146254,96502,1,0.9616599999996149,96502,0 days 08:27:55.987970,True,True
2577,280,26.690000000000122,0 days 00:00:43.216364,10.355782,96783,1,0.9637599999996131,96783,0 days 08:28:42.861375,True,True
2578,435,42.190000000000346,0 days 00:01:23.887494,10.414242,97219,1,0.9669999999996104,97219,0 days 08:30:10.400597,True,True
2579,449,43.590000000000366,0 days 00:01:07.903998,10.305102,97669,1,0.9703599999996075,97669,0 days 08:31:21.953561,True,True
2580,272,25.89000000000011,0 days 00:01:01.263411,10.171448,97942,1,0.9723999999996058,97942,0 days 08:32:26.865959,True,True
2581,419,40.59000000000032,0 days 00:01:10.634811,10.066214,98362,1,0.9755199999996031,98362,0 days 08:33:41.157044,True,True
2582,310,29.690000000000165,0 days 00:00:55.996567,10.137664,98673,1,0.9777999999996012,98673,0 days 08:34:40.805623,True,True
2583,488,47.49000000000042,0 days 00:01:21.650604,10.131981,99162,1,0.9814599999995981,99162,0 days 08:36:06.112022,True,True
2584,479,46.59000000000041,0 days 00:01:08.725418,10.074802,99642,1,0.9849999999995951,99642,0 days 08:37:18.490066,True,True
2585,354,34.09000000000023,0 days 00:00:58.105294,10.092654,99997,1,0.9876399999995928,99997,0 days 08:38:20.239515,True,True
2586,320,30.69000000000018,0 days 00:00:56.146033,10.105189,100318,1,0.9900399999995908,100318,0 days 08:39:20.039178,True,True
2587,271,25.79000000000011,0 days 00:00:54.658677,10.053291,100590,1,0.9920199999995891,100590,0 days 08:40:18.342779,True,True
2588,351,33.79000000000023,0 days 00:01:08.741718,10.072842,100942,1,0.9945999999995869,100942,0 days 08:41:30.732902,True,True
2589,363,34.990000000000244,0 days 00:00:59.721075,10.0983515,101306,1,0.9972999999995846,101306,0 days 08:42:34.100855,True,True
2590,413,39.990000000000315,0 days 00:01:04.367793,10.131769,101720,1,1.0,101720,0 days 08:43:42.122814,True,True
2591,340,32.69000000000021,0 days 00:00:51.492008,10.1557255,102061,1,1.0,102061,0 days 08:44:37.268054,True,True
2592,225,21.190000000000044,0 days 00:00:52.459221,10.189511,102287,1,1.0,102287,0 days 08:45:33.376995,True,True
2593,370,35.69000000000025,0 days 00:00:58.330543,10.234303,102658,1,1.0,102658,0 days 08:46:35.356690,True,True
2594,502,48.89000000000044,0 days 00:01:26.652836,10.234958,103161,1,1.0,103161,0 days 08:48:05.652782,True,True
2595,305,29.190000000000158,0 days 00:00:59.190887,10.18699,103467,1,1.0,103467,0 days 08:49:08.492857,True,True
2596,288,27.490000000000133,0 days 00:01:08.386313,10.031578,103756,1,1.0,103756,0 days 08:50:20.529342,True,True
2597,447,43.39000000000036,0 days 00:01:14.723758,9.981092,104204,1,1.0,104204,0 days 08:51:38.905861,True,True
2598,230,21.69000000000005,0 days 00:00:44.747866,9.853055,104435,1,1.0,104435,0 days 08:52:27.300425,True,True
