epoch,epoch_steps,epoch_rewards,epoch_time,epoch_avg_q,total_steps,epsilon,beta,memory_len,total_run_time,dueling,noisy_net,pretraining_steps
0,2,-1.1,0 days 00:00:03.000096,0.05041808,3,1,0.4,3,0 days 00:00:19.433516,True,True,5000
1,15,0.19999999999999996,0 days 00:00:02.100173,0.02654952,19,1,0.4,19,0 days 00:00:25.168251,True,True,5000
2,9,-0.4,0 days 00:00:02.732038,0.031116527,29,1,0.4,29,0 days 00:00:31.517358,True,True,5000
3,9,-0.4,0 days 00:00:02.216827,0.032371454,39,1,0.4,39,0 days 00:00:37.351222,True,True,5000
4,15,0.19999999999999996,0 days 00:00:02.614883,0.029220073,55,1,0.4,55,0 days 00:00:43.584162,True,True,5000
5,15,0.19999999999999996,0 days 00:00:04.166068,0.028097695,71,1,0.4,71,0 days 00:00:51.368471,True,True,5000
6,8,-0.5,0 days 00:00:02.148759,0.033976927,80,1,0.4,80,0 days 00:00:57.135362,True,True,5000
7,15,0.19999999999999996,0 days 00:00:03.132914,0.011710849,96,1,0.4,96,0 days 00:01:03.885255,True,True,5000
8,8,-0.5,0 days 00:00:02.149179,0.041009914,105,1,0.4,105,0 days 00:01:09.652220,True,True,5000
9,7,-0.6,0 days 00:00:02.082016,0.019797567,113,1,0.4,113,0 days 00:01:15.352450,True,True,5000
10,7,-0.6,0 days 00:00:02.082351,0.00869385,121,1,0.4,121,0 days 00:01:21.052611,True,True,5000
11,9,-0.4,0 days 00:00:02.215685,0.025022408,131,1,0.4,131,0 days 00:01:26.886582,True,True,5000
12,9,-0.4,0 days 00:00:03.248562,0.01694334,141,1,0.4,141,0 days 00:01:33.752585,True,True,5000
13,8,-0.5,0 days 00:00:02.149200,0.031597145,150,1,0.4,150,0 days 00:01:39.520153,True,True,5000
14,15,0.19999999999999996,0 days 00:00:02.099700,0.037808806,166,1,0.4,166,0 days 00:01:45.237430,True,True,5000
15,10,-0.30000000000000004,0 days 00:00:03.832777,0.022809668,177,1,0.4,177,0 days 00:01:52.687813,True,True,5000
16,7,-0.6,0 days 00:00:02.082935,0.02739672,185,1,0.4,185,0 days 00:01:58.387918,True,True,5000
17,7,-0.6,0 days 00:00:03.115873,0.038446,193,1,0.4,193,0 days 00:02:05.120915,True,True,5000
18,7,-0.6,0 days 00:00:02.098965,0.01881431,201,1,0.4,201,0 days 00:02:10.837402,True,True,5000
19,14,0.09999999999999987,0 days 00:00:03.065478,0.042134337,216,1,0.4,216,0 days 00:02:17.521466,True,True,5000
20,7,-0.6,0 days 00:00:02.082321,0.05351825,224,1,0.4,224,0 days 00:02:23.222036,True,True,5000
21,7,-0.6,0 days 00:00:02.082700,0.027522374,232,1,0.4,232,0 days 00:02:28.922487,True,True,5000
22,8,-0.5,0 days 00:00:02.148716,0.029766312,241,1,0.4,241,0 days 00:02:34.688864,True,True,5000
23,28,1.5000000000000009,0 days 00:00:03.998981,0.030435208,270,1,0.4,270,0 days 00:02:42.307555,True,True,5000
24,15,0.19999999999999996,0 days 00:00:02.615018,0.025439044,286,1,0.4,286,0 days 00:02:48.539736,True,True,5000
25,7,-0.6,0 days 00:00:02.083414,0.029823996,294,1,0.4,294,0 days 00:02:54.240749,True,True,5000
26,8,-0.5,0 days 00:00:02.149693,0.03885133,303,1,0.4,303,0 days 00:03:00.006936,True,True,5000
27,18,0.5000000000000002,0 days 00:00:03.849809,0.026246253,322,1,0.4,322,0 days 00:03:07.474267,True,True,5000
28,14,0.09999999999999987,0 days 00:00:03.065817,0.018340763,337,1,0.4,337,0 days 00:03:14.157487,True,True,5000
29,7,-0.6,0 days 00:00:03.115021,0.017345987,345,1,0.4,345,0 days 00:03:20.890703,True,True,5000
30,7,-0.6,0 days 00:00:02.083533,0.017209504,353,1,0.4,353,0 days 00:03:26.592165,True,True,5000
31,18,0.5000000000000002,0 days 00:00:04.883319,0.030048994,372,1,0.4,372,0 days 00:03:35.092771,True,True,5000
32,15,0.19999999999999996,0 days 00:00:02.098609,0.030536594,388,1,0.4,388,0 days 00:03:40.809074,True,True,5000
33,12,-0.10000000000000009,0 days 00:00:03.449712,0.035660572,401,1,0.4,401,0 days 00:03:47.875261,True,True,5000
34,12,-0.10000000000000009,0 days 00:00:03.965492,0.02635602,414,1,0.4,414,0 days 00:03:55.459306,True,True,5000
35,17,0.40000000000000013,0 days 00:00:02.234301,0.030583613,432,1,0.4,432,0 days 00:04:01.310358,True,True,5000
36,8,-0.5,0 days 00:00:02.148893,0.03351991,441,1,0.4,441,0 days 00:04:07.076547,True,True,5000
37,15,0.19999999999999996,0 days 00:00:03.133411,0.045322157,457,1,0.4,457,0 days 00:04:13.827765,True,True,5000
38,14,0.09999999999999987,0 days 00:00:03.582964,0.04346854,472,1,0.4,472,0 days 00:04:21.027526,True,True,5000
39,8,-0.5,0 days 00:00:03.182129,0.023841782,481,1,0.4,481,0 days 00:04:27.827017,True,True,5000
40,15,0.19999999999999996,0 days 00:00:04.835589,0.023412706,497,1,0.4,497,0 days 00:04:36.280315,True,True,5000
41,8,-0.5,0 days 00:00:02.149688,0.049627557,506,1,0.4,506,0 days 00:04:42.044418,True,True,5000
42,8,-0.5,0 days 00:00:02.149004,0.030618064,515,1,0.4,515,0 days 00:04:47.811780,True,True,5000
43,9,-0.4,0 days 00:00:02.216058,0.032526143,525,1,0.4,525,0 days 00:04:53.645407,True,True,5000
